id;x;y;z;time;;;
0x6733;2737;815;0;2019-05-16 10:25:47.540;25.47,5;47,54;0,2
0x6733;2672;830;0;2019-05-16 10:25:47.740;25.47,7;47,74;0,175
0x6733;2726;863;0;2019-05-16 10:25:47.915;25.47,9;47,915;0,186
0x6733;2733;871;0;2019-05-16 10:25:48.101;25.48,1;48,101;0,177
0x6733;2658;857;0;2019-05-16 10:25:48.278;25.48,3;48,278;0,367
0x6733;2609;879;0;2019-05-16 10:25:48.645;25.48,6;48,645;0,175
0x6733;2544;924;0;2019-05-16 10:25:48.820;25.48,8;48,82;0,37
0x6733;2729;874;0;2019-05-16 10:25:49.190;25.49,2;49,19;0,19
0x6733;2799;870;0;2019-05-16 10:25:49.380;25.49,4;49,38;0,171
0x6733;2795;861;0;2019-05-16 10:25:49.551;25.49,6;49,551;0,188
0x6733;2688;871;0;2019-05-16 10:25:49.739;25.49,7;49,739;0,185
0x6733;2754;866;0;2019-05-16 10:25:49.924;25.49,9;49,924;0,185
0x6733;2710;904;0;2019-05-16 10:25:50.109;25.50,1;50,109;0,175
0x6733;2693;868;0;2019-05-16 10:25:50.284;25.50,3;50,284;0,186
0x6733;2761;848;0;2019-05-16 10:25:50.470;25.50,5;50,47;0,19
0x6733;2717;867;0;2019-05-16 10:25:50.660;25.50,7;50,66;0,177
0x6733;2695;851;0;2019-05-16 10:25:50.837;25.50,8;50,837;0,372
0x6733;2709;865;0;2019-05-16 10:25:51.209;25.51,2;51,209;0,182
0x6733;2722;891;0;2019-05-16 10:25:51.391;25.51,4;51,391;0,179
0x6733;2725;862;0;2019-05-16 10:25:51.570;25.51,6;51,57;0,366
0x6733;2760;872;0;2019-05-16 10:25:51.936;25.51,9;51,936;0,192
0x6733;2761;859;0;2019-05-16 10:25:52.128;25.52,1;52,128;0,186
0x6733;2701;894;0;2019-05-16 10:25:52.314;25.52,3;52,314;0,177
0x6733;2747;898;0;2019-05-16 10:25:52.491;25.52,5;52,491;0,183
0x6733;2786;841;0;2019-05-16 10:25:52.674;25.52,7;52,674;0,178
0x6733;2779;866;0;2019-05-16 10:25:52.852;25.52,9;52,852;0,202
0x6733;2773;871;0;2019-05-16 10:25:53.054;25.53,1;53,054;0,168
0x6733;2729;881;0;2019-05-16 10:25:53.222;25.53,2;53,222;0,182
0x6733;2748;853;0;2019-05-16 10:25:53.404;25.53,4;53,404;0,182
0x6733;2731;884;0;2019-05-16 10:25:53.586;25.53,6;53,586;0,373
0x6733;2747;901;0;2019-05-16 10:25:53.959;25.54,0;53,959;0,184
0x6733;2721;870;0;2019-05-16 10:25:54.143;25.54,1;54,143;0,18
0x6733;2706;884;0;2019-05-16 10:25:54.323;25.54,3;54,323;0,367
0x6733;2741;867;0;2019-05-16 10:25:54.690;25.54,7;54,69;0,183
0x6733;2741;858;0;2019-05-16 10:25:54.873;25.54,9;54,873;0,182
0x6733;2797;882;0;2019-05-16 10:25:55.055;25.55,1;55,055;0,182
0x6733;2724;883;0;2019-05-16 10:25:55.237;25.55,2;55,237;0,183
0x6733;2748;876;0;2019-05-16 10:25:55.420;25.55,4;55,42;0,188
0x6733;2717;896;0;2019-05-16 10:25:55.608;25.55,6;55,608;0,366
0x6733;2767;887;0;2019-05-16 10:25:55.974;25.56,0;55,974;0,184
0x6733;2684;849;0;2019-05-16 10:25:56.158;25.56,2;56,158;0,186
0x6733;2663;871;0;2019-05-16 10:25:56.344;25.56,3;56,344;0,182
0x6733;2777;845;0;2019-05-16 10:25:56.526;25.56,5;56,526;0,188
0x6733;2751;775;0;2019-05-16 10:25:56.714;25.56,7;56,714;0,184
0x6733;2708;782;0;2019-05-16 10:25:56.898;25.56,9;56,898;0,183
